Sample in Buffer,Sample in Window,TRIGGER,input_L[23:0],output_L[23:0],r_data_rx[23:0],r_data_filt[23:0],sample_ok
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX
0,0,0,-6934599,-5556357,-7001430,-4898017,1
1,1,0,-5994814,-5556357,-7001430,-5609390,1
2,2,0,-5994814,-5721156,-6053375,-5609390,1
3,3,0,-4946841,-5721156,-6053375,-5776042,1
4,4,0,-4946841,-5718999,-4994574,-5776042,1
5,5,0,-5103385,-5718999,-4994574,-5773917,1
6,6,0,-5103385,-6013216,-5152062,-5773917,1
7,7,0,-5515862,-6013216,-5152062,-6070893,1
8,8,0,-5515862,-6355937,-5569178,-6070893,1
9,9,0,-4631777,-6355937,-5569178,-6417090,1
10,10,0,-4631777,-6205933,-4676621,-6417090,1
11,11,0,-2940514,-6205933,-4676621,-6265930,1
12,12,0,-2940514,-5653639,-2969203,-6265930,1
13,13,0,-2158475,-5653639,-2969203,-5708322,1
14,14,0,-2158475,-5268641,-2179724,-5708322,1
15,15,0,-2352854,-5268641,-2179724,-5319425,1
16,16,0,-2352854,-5136101,-2375156,-5319425,1
17,17,0,-1798118,-5136101,-2375156,-5185528,1
18,18,0,-1798118,-4723025,-1816332,-5185528,1
19,19,0,-2388,-4723025,-1816332,-4768638,1
20,20,0,-2388,-3803162,-3148,-4768638,1
21,21,0,1455123,-3803162,-3148,-3840101,1
22,22,0,1455123,-2863922,1468028,-3840101,1
23,23,0,1570521,-2863922,1468028,-2891761,1
24,24,0,1570521,-2293567,1585699,-2891761,1
25,25,0,1620085,-2293567,1585699,-2315902,1
26,26,0,1620085,-1743640,1635576,-2315902,1
27,27,0,2938681,-1743640,1635576,-1760812,1
28,28,0,2938681,-749718,2966077,-1760812,1
29,29,0,4597902,-749718,2966077,-757608,1
30,30,0,4597902,446175,4641184,-757608,1
31,31,0,4997203,446175,4641184,449716,1
32,32,0,4997203,1278049,5044935,449716,1
33,33,0,4538571,1278049,5044935,1289864,1
34,34,0,4538571,1795933,4581985,1289864,1
35,35,0,4944321,1795933,4581985,1812874,1
36,36,0,4944321,2547790,4991103,1812874,1
37,37,0,6282491,2547790,4991103,2571830,1
38,38,0,6282491,3615000,6341938,2571830,1
39,39,0,6834684,3615000,6341938,3649096,1
40,40,0,6834684,4444404,6900636,3649096,1
41,41,0,6034776,4444404,6900636,4486542,1
42,42,0,6034776,4768962,6092527,4486542,1
43,43,0,5405128,4768962,6092527,4814354,1
44,44,0,5405128,5041059,5456754,4814354,1
45,45,0,5978611,5041059,5456754,5088989,1
46,46,0,5978611,5637825,6035862,5088989,1
47,47,0,6509864,5637825,6035862,5691462,1
48,48,0,6509864,6202067,6571981,5691462,1
49,49,0,5620985,6202067,6571981,6261287,1
50,50,0,5620985,6237660,5675621,6261287,1
51,51,0,4168773,6237660,5675621,6297405,1
52,52,0,4168773,5948962,4208932,6297405,1
53,53,0,3790646,5948962,4208932,6005956,1
54,54,0,3790646,5885447,3826726,6005956,1
55,55,0,4115133,5885447,3826726,5941718,1
56,56,0,4115133,6000391,4154590,5941718,1
57,57,0,3436966,6000391,4154590,6057890,1
58,58,0,3436966,5734685,3470197,6057890,1
59,59,0,1626889,5734685,3470197,5789836,1
60,60,0,1626889,4980045,1643011,5789836,1
61,61,0,405775,4980045,1643011,5028010,1
62,62,0,405775,4275970,409638,5028010,1
63,63,0,413838,4275970,409638,4317067,1
64,64,0,413838,3902858,417366,4317067,1
65,65,0,153847,3902858,417366,3940268,1
66,66,0,153847,3420115,155771,3940268,1
67,67,0,-1425267,3420115,155771,3453043,1
68,68,0,-1425267,2441392,-1438097,3453043,1
69,69,0,-3087977,2441392,-1438097,2465062,1
70,70,0,-3087977,1319503,-3117234,2465062,1
71,71,0,-3421849,1319503,-3117234,1332292,1
72,72,0,-3421849,570071,-3455196,1332292,1
73,73,0,-3187893,570071,-3455196,575544,1
74,74,0,-3187893,19183,-3218309,575544,1
75,75,0,-4017809,19183,-3218309,19505,1
76,76,0,-4017809,-869611,-4055502,19505,1
77,77,0,-5596531,-869611,-4055502,-877536,1
78,78,0,-5596531,-2048981,-5649673,-877536,1
79,79,0,-6166117,-2048981,-5649673,-2068246,1
80,80,0,-6166117,-2938648,-6224977,-2068246,1
81,81,0,-5529774,-2938648,-6224977,-2966722,1
82,82,0,-5529774,-3387586,-5583329,-2966722,1
83,83,0,-5358169,-3387586,-5583329,-3419999,1
84,84,0,-5358169,-3905112,-5409129,-3419999,1
85,85,0,-6334848,-3905112,-5409129,-3942231,1
86,86,0,-6334848,-4763761,-6394937,-3942231,1
87,87,0,-6959975,-4763761,-6394937,-4808919,1
88,88,0,-6959975,-5511967,-7026417,-4808919,1
89,89,0,-6126366,-5511967,-7026417,-5564507,1
90,90,0,-6126366,-5724354,-6185373,-5564507,1
91,91,0,-5005338,-5724354,-6185373,-5779175,1
92,92,0,-5005338,-5712940,-5053757,-5779175,1
93,93,0,-5046217,-5712940,-5053757,-5767605,1
94,94,0,-5046217,-5979363,-5095048,-5767605,1
95,95,0,-5523547,-5979363,-5095048,-6036379,1
96,96,0,-5523547,-6345550,-5576301,-6036379,1
97,97,0,-4779068,-6345550,-5576301,-6406053,1
98,98,0,-4779068,-6252003,-4825380,-6406053,1
99,99,0,-3085292,-6252003,-4825380,-6311903,1
100,100,0,-3085292,-5711672,-3115695,-6311903,1
101,101,0,-2174044,-5711672,-3115695,-5766693,1
102,102,0,-2174044,-5292301,-2195577,-5766693,1
103,103,0,-2340005,-5292301,-2195577,-5343346,1
104,104,0,-2340005,-5153926,-2362764,-5343346,1
105,105,0,-1916069,-5153926,-2362764,-5203575,1
106,106,0,-1916069,-4789280,-1935094,-5203575,1
107,107,0,-191467,-4789280,-1935094,-4835506,1
108,108,0,-191467,-3904372,-194204,-4835506,1
109,109,0,1372208,-3904372,-194204,-3942325,1
110,110,0,1372208,-2939776,1384755,-3942325,1
111,111,0,1590761,-2939776,1384755,-2968601,1
112,112,0,1590761,-2338283,1605674,-2968601,1
113,113,0,1569508,-2338283,1605674,-2361286,1
114,114,0,1569508,-1812790,1584040,-2361286,1
115,115,0,2760990,-1812790,1584040,-1830761,1
116,116,0,2760990,-863719,2786560,-1830761,1
117,117,0,4480943,-863719,2786560,-872674,1
118,118,0,4480943,339239,4523318,-872674,1
119,119,0,5017508,339239,4523318,341823,1
120,120,0,5017508,1217200,5065221,341823,1
121,121,0,4568743,1217200,5065221,1228318,1
122,122,0,4568743,1742368,4612502,1228318,1
123,123,0,4848030,1742368,4612502,1758537,1
124,124,0,4848030,2455591,4893450,1758537,1
125,125,0,6158693,2455591,4893450,2478508,1
126,126,0,6158693,3511760,6217140,2478508,1
127,127,0,6855169,3511760,6217140,3544782,1
128,128,0,6855169,4387596,6920694,3544782,1
129,129,0,6131080,4387596,6920694,4429178,1
130,130,0,6131080,4750224,6190565,4429178,1
131,131,0,5409928,4750224,6190565,4795347,1
132,132,0,5409928,5001767,5461300,4795347,1
133,133,0,5893796,5001767,5461300,5049188,1
134,134,0,5893796,5572926,5950022,5049188,1
135,135,0,6511776,5572926,5950022,5625763,1
136,136,0,6511776,6167640,6574107,5625763,1
137,137,0,5766672,6167640,6574107,6226446,1
138,138,0,5766672,6256737,5821881,6226446,1
139,139,0,4276529,6256737,5821881,6316709,1
140,140,0,4276529,5971928,4317718,6316709,1
141,141,0,3767037,5971928,4317718,6029173,1
142,142,0,3767037,5875159,3802999,6029173,1
143,143,0,4104591,5875159,3802999,5931329,1
144,144,0,4104591,5997857,4143418,5931329,1
145,145,0,3571763,5997857,4143418,6055138,1
146,146,0,3571763,5787698,3606329,6055138,1
147,147,0,1803966,5787698,3606329,5843112,1
148,148,0,1803966,5060888,1821955,5843112,1
149,149,0,459265,5060888,1821955,5109403,1
150,150,0,459265,4326547,463815,5109403,1
151,151,0,390030,4326547,463815,4367938,1
152,152,0,390030,3931922,393718,4367938,1
153,153,0,234414,3931922,393718,3969478,1
154,154,0,234414,3487113,237100,3969478,1
155,155,0,-1233854,3487113,237100,3520568,1
156,156,0,-1233854,2552486,-1245140,3520568,1
157,157,0,-2976524,2552486,-1245140,2577233,1
158,158,0,-2976524,1414847,-3005053,2577233,1
159,159,0,-3449078,1414847,-3005053,1428737,1
160,160,0,-3449078,622925,-3482273,1428737,1
161,161,0,-3175914,622925,-3482273,629117,1
162,162,0,-3175914,78935,-3206456,629117,1
163,163,0,-3884947,78935,-3206456,79936,1
164,164,0,-3884947,-764359,-3922245,79936,1
165,165,0,-5461997,-764359,-3922245,-771367,1
166,166,0,-5461997,-1939156,-5513716,-771367,1
167,167,0,-6178672,-1939156,-5513716,-1957512,1
168,168,0,-6178672,-2876665,-6237987,-1957512,1
169,169,0,-5600537,-2876665,-6237987,-2904209,1
170,170,0,-5600537,-3351929,-5654531,-2904209,1
171,171,0,-5313684,-3351929,-5654531,-3384146,1
172,172,0,-5313684,-3838951,-5364500,-3384146,1
173,173,0,-6212077,-3838951,-5364500,-3875718,1
174,174,0,-6212077,-4674747,-6271467,-3875718,1
175,175,0,-6953461,-4674747,-6271467,-4719395,1
176,176,0,-6953461,-5460962,-7020541,-4719395,1
177,177,0,-6248804,-5460962,-7020541,-5513187,1
178,178,0,-6248804,-5722269,-6309940,-5513187,1
179,179,0,-5072011,-5722269,-6309940,-5777127,1
180,180,0,-5072011,-5703319,-5120979,-5777127,1
181,181,0,-4993366,-5703319,-5120979,-5758041,1
182,182,0,-4993366,-5934338,-5041636,-5758041,1
183,183,0,-5511001,-5934338,-5041636,-5991253,1
184,184,0,-5511001,-6315464,-5563733,-5991253,1
185,185,0,-4919743,-6315464,-5563733,-6376278,1
186,186,0,-4919743,-6281281,-4967278,-6376278,1
187,187,0,-3239667,-6281281,-4967278,-6342077,1
188,188,0,-3239667,-5764794,-3270936,-6342077,1
189,189,0,-2203982,-5764794,-3270936,-5820721,1
190,190,0,-2203982,-5315232,-2225404,-5820721,1
191,191,0,-2316489,-5315232,-2225404,-5366624,1
192,192,0,-2316489,-5166707,-2338328,-5366624,1
193,193,0,-2024178,-5166707,-2338328,-5216458,1
194,194,0,-2024178,-4848908,-2043725,-5216458,1
195,195,0,-380944,-4848908,-2043725,-4895586,1
196,196,0,-380944,-4005598,-385990,-4895586,1
197,197,0,1277319,-4005598,-385990,-4044225,1
198,198,0,1277319,-3020735,1288878,-4044225,1
199,199,0,1611401,-3020735,1288878,-3049862,1
200,200,0,1611401,-2384192,1627199,-3049862,1
201,201,0,1524116,-2384192,1627199,-2407082,1
202,202,0,1524116,-1877568,1538714,-2407082,1
203,203,0,2595656,-1877568,1538714,-1895773,1
204,204,0,2595656,-974792,2620075,-1895773,1
205,205,0,4342113,-974792,2620075,-984702,1
206,206,0,4342113,229888,4383339,-984702,1
207,207,0,5036471,229888,4383339,231434,1
208,208,0,5036471,1153293,5083955,231434,1
209,209,0,4605779,1153293,5083955,1164002,1
210,210,0,4605779,1690728,4650267,1164002,1
211,211,0,4757680,1690728,4650267,1706856,1
212,212,0,4757680,2365658,4802837,1706856,1
213,213,0,6024991,2365658,4802837,2388170,1
214,214,0,6024991,3405990,6082067,2388170,1
215,215,0,6856823,3405990,6082067,3438218,1
216,216,0,6856823,4326256,6922421,3438218,1
217,217,0,6239974,4326256,6922421,4367309,1
218,218,0,6239974,4730671,6300429,4367309,1
219,219,0,5431115,4730671,6300429,4775725,1
220,220,0,5431115,4964868,5483247,4775725,1
221,221,0,5806752,4964868,5483247,5012177,1
222,222,0,5806752,5504712,5861523,5012177,1
223,223,0,6498775,5504712,5861523,5557138,1
224,224,0,6498775,6126727,6561331,5557138,1
225,225,0,5896157,6126727,6561331,6185218,1
226,226,0,5896157,6274816,5952965,6185218,1
227,227,0,4399021,6274816,5952965,6335034,1
228,228,0,4399021,6001039,4441643,6335034,1
229,229,0,3758750,6001039,4441643,6058630,1
230,230,0,3758750,5869202,3794312,6058630,1
231,231,0,4080151,5869202,3794312,5925340,1
232,232,0,4080151,5989641,4119221,5925340,1
233,233,0,3687236,5989641,4119221,6046906,1
234,234,0,3687236,5832428,3723276,6046906,1
235,235,0,1990542,5832428,3723276,5888446,1
236,236,0,1990542,5141310,2010308,5888446,1
237,237,0,528199,5141310,2010308,5190806,1
238,238,0,528199,4382122,533946,5190806,1
239,239,0,372046,4382122,533946,4424165,1
240,240,0,372046,3960696,375617,4424165,1
241,241,0,301889,3960696,375617,3998684,1
242,242,0,301889,3547180,304795,3998684,1
243,243,0,-1046097,3547180,304795,3581436,1
244,244,0,-1046097,2660563,-1055793,3581436,1
245,245,0,-2851326,2660563,-1055793,2686634,1
246,246,0,-2851326,1516252,-2878063,2686634,1
247,247,0,-3463486,1516252,-2878063,1531360,1
248,248,0,-3463486,682266,-3496423,1531360,1
249,249,0,-3184313,682266,-3496423,689152,1
250,250,0,-3184313,138231,-3214816,689152,1
251,251,0,-3756001,138231,-3214816,139731,1
252,252,0,-3756001,-661424,-3791619,139731,1
253,253,0,-5317293,-661424,-3791619,-667550,1
254,254,0,-5317293,-1826014,-5367399,-667550,1
255,255,0,-6183793,-1826014,-5367399,-1843163,1
256,256,0,-6183793,-2809837,-6242876,-1843163,1
257,257,0,-5675839,-2809837,-6242876,-2836426,1
258,258,0,-5675839,-3317151,-5730168,-2836426,1
259,259,0,-5282126,-3317151,-5730168,-3348690,1
260,260,0,-5282126,-3777051,-5332872,-3348690,1
261,261,0,-6096213,-3777051,-5332872,-3812934,1
262,262,0,-6096213,-4585807,-6153865,-3812934,1
263,263,0,-6940283,-4585807,-6153865,-4629313,1
264,264,0,-6940283,-5405501,-7006921,-4629313,1
265,265,0,-6373395,-5405501,-7006921,-5456887,1
266,266,0,-6373395,-5719678,-6434313,-5456887,1
267,267,0,-5150801,-5719678,-6434313,-5774290,1
268,268,0,-5150801,-5699431,-5200070,-5774290,1
269,269,0,-4944387,-5699431,-5200070,-5753913,1
270,270,0,-4944387,-5895568,-4991754,-5753913,1
271,271,0,-5495308,-5895568,-4991754,-5951863,1
272,272,0,-5495308,-6287974,-5547636,-5951863,1
273,273,0,-5041886,-6287974,-5547636,-6348013,1
274,274,0,-5041886,-6312227,-5090763,-6348013,1
275,275,0,-3403894,-6312227,-5090763,-6372564,1
276,276,0,-3403894,-5822207,-3436832,-6372564,1
277,277,0,-2239488,-5822207,-3436832,-5877937,1
278,278,0,-2239488,-5343325,-2260780,-5877937,1
279,279,0,-2289648,-5343325,-2260780,-5394412,1
280,280,0,-2289648,-5178660,-2311461,-5394412,1
281,281,0,-2117143,-5178660,-2311461,-5228249,1
282,282,0,-2117143,-4903601,-2137440,-5228249,1
283,283,0,-573351,-4903601,-2137440,-4950718,1
284,284,0,-573351,-4104335,-579785,-4950718,1
285,285,0,1169047,-4104335,-579785,-4143876,1
286,286,0,1169047,-3103188,1180152,-4143876,1
287,287,0,1628938,-3103188,1180152,-3133047,1
288,288,0,1628938,-2429966,1644104,-3133047,1
289,289,0,1500452,-2429966,1644104,-2453208,1
290,290,0,1500452,-1937608,1514473,-2453208,1
291,291,0,2430342,-1937608,1514473,-1956264,1
292,292,0,2430342,-1083471,2452650,-1956264,1
293,293,0,4194884,-1083471,2452650,-1094165,1
294,294,0,4194884,117109,4234205,-1094165,1
295,295,0,5038963,117109,4234205,117810,1
296,296,0,5038963,1087026,5086707,117810,1
297,297,0,4648741,1087026,5086707,1097046,1
298,298,0,4648741,1643066,4693356,1097046,1
299,299,0,4686524,1643066,4693356,1658364,1
300,300,0,4686524,2281055,4731423,1658364,1
301,301,0,5893466,2281055,4731423,2302248,1
302,302,0,5893466,3298304,5949220,2302248,1
303,303,0,6837673,3298304,5949220,3329141,1
304,304,0,6837673,4257620,6903091,3329141,1
305,305,0,6336152,4257620,6903091,4297794,1
306,306,0,6336152,4709403,6396821,4297794,1
307,307,0,5471057,4709403,6396821,4754226,1
308,308,0,5471057,4933956,5523460,4754226,1
309,309,0,5724910,4933956,5523460,4981045,1
310,310,0,5724910,5441139,5779007,4981045,1
311,311,0,6472879,5441139,5779007,5493030,1
312,312,0,6472879,6080686,6534418,5493030,1
313,313,0,6020876,6080686,6534418,6138670,1
314,314,0,6020876,6285214,6078819,6138670,1
315,315,0,4529632,6285214,6078819,6345268,1
316,316,0,4529632,6029561,4573601,6345268,1
317,317,0,3756692,6029561,4573601,6087171,1
318,318,0,3756692,5866958,3792505,6087171,1
319,319,0,4054306,5866958,3792505,5922828,1
320,320,0,4054306,5981194,4092698,5922828,1
321,321,0,3795518,5981194,4092698,6038130,1
322,322,0,3795518,5873493,3831618,6038130,1
323,323,0,2179080,5873493,3831618,5929663,1
324,324,0,2179080,5221738,2200334,5929663,1
325,325,0,611220,5221738,2200334,5271934,1
326,326,0,611220,4441450,617645,5271934,1
327,327,0,349022,4441450,617645,4484101,1
328,328,0,349022,3991232,352188,4484101,1
329,329,0,356131,3991232,352188,4029313,1
330,330,0,356131,3605747,359962,4029313,1
331,331,0,-865195,3605747,359962,3640087,1
332,332,0,-865195,2769013,-873122,3640087,1
333,333,0,-2714129,2769013,-873122,2795600,1
334,334,0,-2714129,1620966,-2739952,2795600,1
335,335,0,-3463467,1620966,-2739952,1636738,1
336,336,0,-3463467,742744,-3497168,1636738,1
337,337,0,-3201430,742744,-3497168,750123,1
338,338,0,-3201430,192643,-3232172,750123,1
339,339,0,-3637682,192643,-3232172,194725,1
340,340,0,-3637682,-564024,-3672137,194725,1
341,341,0,-5171921,-564024,-3672137,-569167,1
342,342,0,-5171921,-1710959,-5221328,-569167,1
343,343,0,-6167423,-1710959,-5221328,-1727187,1
344,344,0,-6167423,-2736798,-6226451,-1727187,1
345,345,0,-5750573,-2736798,-6226451,-2763083,1
346,346,0,-5750573,-3280243,-5806038,-2763083,1
347,347,0,-5266819,-3280243,-5806038,-3311770,1
348,348,0,-5266819,-3719082,-5317195,-3311770,1
349,349,0,-5988603,-3719082,-5317195,-3754667,1
350,350,0,-5988603,-4498056,-6045662,-3754667,1
351,351,0,-6911943,-4498056,-6045662,-4540972,1
352,352,0,-6911943,-5344332,-6978300,-4540972,1
353,353,0,-6478413,-5344332,-6978300,-5395462,1
354,354,0,-6478413,-5712335,-6540487,-5395462,1
355,355,0,-5248571,-5712335,-6540487,-5767129,1
356,356,0,-5248571,-5698561,-5299427,-5767129,1
357,357,0,-4912951,-5698561,-5299427,-5753190,1
358,358,0,-4912951,-5862342,-4960275,-5753190,1
359,359,0,-5452222,-5862342,-4960275,-5918458,1
360,360,0,-5452222,-6257627,-5504027,-5918458,1
361,361,0,-5159194,-6257627,-5504027,-6317507,1
362,362,0,-5159194,-6336140,-5209222,-6317507,1
363,363,0,-3566109,-6336140,-5209222,-6396934,1
364,364,0,-3566109,-5879819,-3601159,-6396934,1
365,365,0,-2287252,-5879819,-3601159,-5936409,1
366,366,0,-2287252,-5375758,-2310151,-5936409,1
367,367,0,-2269951,-5375758,-2310151,-5427465,1
368,368,0,-2269951,-5189689,-2291766,-5427465,1
369,369,0,-2191152,-5189689,-2291766,-5239546,1
370,370,0,-2191152,-4950142,-2212418,-5239546,1
371,371,0,-765356,-4950142,-2212418,-4997814,1
372,372,0,-765356,-4198267,-773112,-4997814,1
373,373,0,1044149,-4198267,-773112,-4239076,1
374,374,0,1044149,-3189440,1053608,-4239076,1
375,375,0,1639627,-3189440,1053608,-3220731,1
376,376,0,1639627,-2478709,1654936,-3220731,1
377,377,0,1484453,-2478709,1654936,-2503001,1
378,378,0,1484453,-1995688,1498736,-2503001,1
379,379,0,2285608,-1995688,1498736,-2015157,1
380,380,0,2285608,-1189663,2306622,-2015157,1
381,381,0,4041912,-1189663,2306622,-1201395,1
382,382,0,4041912,942,4080177,-1201395,1
383,383,0,5019968,942,4080177,516,1
384,384,0,5019968,1014281,5067614,516,1
385,385,0,4701374,1014281,5067614,1023623,1
386,386,0,4701374,1596336,4746887,1023623,1
387,387,0,4619857,1596336,4746887,1611279,1
388,388,0,4619857,2203765,4663476,1611279,1
389,389,0,5755438,2203765,4663476,2224461,1
390,390,0,5755438,3193257,5809203,2224461,1
391,391,0,6810983,3193257,5809203,3223339,1
392,392,0,6810983,4184954,6876136,3223339,1
393,393,0,6431822,4184954,6876136,4224678,1
394,394,0,6431822,4683989,6493383,4224678,1
395,395,0,5508064,4683989,6493383,4728688,1
396,396,0,5508064,4903096,5560856,4728688,1
397,397,0,5656658,4903096,5560856,4949709,1
398,398,0,5656658,5377250,5710328,4949709,1
399,399,0,6433824,5377250,5710328,5428157,1
400,400,0,6433824,6030630,6494658,5428157,1
401,401,0,6128404,6030630,6494658,6087798,1
402,402,0,6128404,6291357,6187514,6087798,1
403,403,0,4673271,6291357,6187514,6351353,1
404,404,0,4673271,6057945,4718748,6351353,1
405,405,0,3775981,6057945,4718748,6115866,1
406,406,0,3775981,5865986,3811518,6115866,1
407,407,0,4012009,5865986,3811518,5921874,1
408,408,0,4012009,5969535,4050295,5921874,1
409,409,0,3885641,5969535,4050295,6026353,1
410,410,0,3885641,5908882,3923026,6026353,1
411,411,0,2363501,5908882,3923026,5965386,1
412,412,0,2363501,5302144,2386568,5965386,1
413,413,0,712854,5302144,2386568,5353067,1
414,414,0,712854,4506623,719814,5353067,1
415,415,0,326105,4506623,719814,4549862,1
416,416,0,326105,4022544,329153,4549862,1
417,417,0,398632,4022544,329153,4060963,1
418,418,0,398632,3655653,402577,4060963,1
419,419,0,-690874,3655653,402577,3690643,1
