sample,in_l_16,out_l_16
1,15579,0
2,5461,0
3,1842,0
4,12655,0
5,14257,15579
6,18189,32767
7,27231,32767
8,17758,32767
9,10536,32767
10,28436,32767
11,32767,32767
12,20229,32767
13,18616,32767
14,25293,32767
15,21748,32767
16,24859,32767
17,27236,32767
18,10755,32767
19,6061,32767
20,22131,32767
21,18591,32767
22,698,32767
23,745,32767
24,2659,32767
25,-3305,32767
26,360,32767
27,-3006,32767
28,-21433,24136
29,-19595,4201
30,-4598,-187
31,-14144,-6237
32,-28276,-30030
33,-23474,-32768
34,-22492,-32768
35,-24871,-32768
36,-17384,-32768
37,-22836,-32768
38,-32768,-32768
39,-24606,-32768
40,-9790,-32768
41,-20614,-32768
42,-26557,-32768
43,-16494,-32768
44,-14546,-32768
45,-10998,-32768
46,-777,-32768
47,-8020,-32768
48,-14844,-32768
49,4306,-32768
50,15244,-32768
51,3226,-32768
52,3503,-32768
53,13846,-32768
54,14083,-13852
55,20179,27482
56,27117,32767
57,14954,32767
58,12342,32767
59,31804,32767
60,32767,32767
61,18240,32767
62,20161,32767
63,25219,32767
64,21332,32767
65,26282,32767
66,25373,32767
67,7830,32767
68,8404,32767
69,23841,32767
70,15181,32767
71,-818,32767
72,1869,32767
73,1631,32767
74,-3479,32767
75,1214,32767
76,-5994,32767
77,-23447,18914
78,-16504,2703
79,-4170,-613
80,-17684,-8893
81,-28506,-32768
82,-22329,-32768
83,-23404,-32768
84,-23959,-32768
85,-16681,-32768
86,-25840,-32768
87,-32768,-32768
88,-20653,-32768
89,-10119,-32768
90,-23218,-32768
91,-25219,-32768
92,-15223,-32768
93,-14762,-32768
94,-8983,-32768
95,-454,-32768
96,-10610,-32768
97,-13018,-32768
98,8264,-32768
99,13962,-32768
100,1559,-32768
101,5556,-32768
102,14540,-32768
103,14197,-6156
104,22277,32767
105,26175,32767
106,12517,32767
107,15082,32767
108,32767,32767
109,30629,32767
110,17010,32767
111,21787,32767
112,24715,32767
113,21354,32767
114,27511,32767
115,22771,32767
116,5642,32767
117,11377,32767
118,24538,32767
119,11505,32767
120,-1525,32767
121,2798,32767
122,368,32767
123,-3165,32767
124,1591,32767
125,-9464,32767
126,-24452,14419
127,-13188,1642
128,-4826,-1205
129,-21066,-12244
130,-28025,-32768
131,-21574,-32768
132,-24297,-32768
133,-22641,-32768
134,-16674,-32768
135,-28960,-32768
136,-32768,-32768
137,-16929,-32768
138,-11430,-32768
139,-25309,-32768
140,-23407,-32768
141,-14434,-32768
142,-14725,-32768
143,-6781,-32768
144,-942,-32768
145,-12916,-32768
146,-10195,-32768
147,11563,-32768
148,11946,-32768
149,625,-32768
150,7770,-32768
151,14783,-32768
152,14725,1766
153,24257,32767
154,24458,32767
155,10736,32767
156,18534,32767
157,32767,32767
158,27579,32767
159,16584,32767
160,23268,32767
161,23914,32767
162,21855,32767
163,28317,32767
164,19601,32767
165,4402,32767
166,14667,32767
167,24138,32767
168,7878,32767
169,-1495,32767
170,3363,32767
171,-947,32767
172,-2421,32767
173,1308,32767
174,-13151,32767
175,-24361,10667
176,-9997,916
177,-6508,-2065
178,-24010,-16324
179,-27004,-32768
180,-21286,-32768
181,-24985,-32768
182,-21069,-32768
183,-17458,-32768
184,-31884,-32768
185,-32768,-32768
186,-13761,-32768
187,-13535,-32768
188,-26695,-32768
189,-21345,-32768
190,-14102,-32768
191,-14292,-32768
192,-4610,-32768
193,-2217,-32768
194,-14637,-32768
195,-6569,-32768
196,13961,-32768
197,9475,-32768
198,500,-32768
199,9913,-32768
200,14687,-30668
201,15730,9622
202,25885,32767
203,22110,32767
204,9843,32767
205,22402,32767
206,32767,32767
207,24473,32767
208,16916,32767
209,24421,32767
210,22989,32767
211,22797,32767
212,28499,32767
213,16112,32767
214,4226,32767
215,17926,32767
216,22668,32767
217,4593,32767
218,-881,32767
219,3463,32767
220,-2126,32767
221,-1382,32767
222,246,32767
223,-16748,32767
224,-23197,7631
225,-7268,411
226,-9054,-3307
227,-26299,-21146
228,-25659,-32768
229,-21468,-32768
230,-25310,-32768
231,-19450,-32768
232,-19037,-32768
233,-32768,-32768
234,-30384,-32768
235,-11414,-32768
236,-16174,-32768
237,-27270,-32768
238,-19269,-32768
239,-14134,-32768
240,-13378,-32768
241,-2704,-32768
242,-4162,-32768
243,-15520,-32768
244,-2415,-32768
245,15307,-32768
246,6860,-32768
247,1166,-32768
248,11787,-32768
249,14415,-24725
250,17201,17124
251,26947,32767
252,19358,32767
253,9987,32767
254,26344,32767
255,32767,32767
256,21613,32767
257,17878,32767
258,25121,32767
259,22130,32767
260,24071,32767
261,27917,32767
262,12600,32767
263,5127,32767
264,20808,32767
265,20258,32767
266,1887,32767
267,114,32767
268,3072,32767
269,-3000,32767
270,-238,32767
271,-1630,32767
272,-19941,27332
273,-21091,5259
274,-5291,20
275,-12222,-5034
276,-27801,-26677
277,-24226,-32768
278,-22046,-32768
279,-25168,-32768
280,-18016,-32768
281,-21323,-32768
282,-32768,-32768
283,-26771,-32768
284,-10070,-32768
285,-19040,-32768
286,-27023,-32768
287,-17389,-32768
288,-14382,-32768
289,-11972,-32768
290,-1285,-32768
291,-6575,-32768
292,-15388,-32768
293,1935,-32768
294,15558,-32768
295,4412,-32768
296,2518,-32768
297,13246,-32768
298,14154,-17923
299,19047,24010
300,27282,32767
301,16487,32767
302,11213,32767
303,30009,32767
304,32767,32767
305,19258,32767
306,19278,32767
307,25319,32767
308,21515,32767
309,25500,32767
310,26507,32767
311,9380,32767
312,7007,32767
313,23006,32767
314,17129,32767
315,-77,32767
316,1256,32767
317,2241,32767
318,-3443,32767
319,785,32767
320,-4260,32767
321,-22443,21728
322,-18271,3474
323,-4274,-363
324,-15718,-7335
325,-28474,-32768
326,-22925,-32768
327,-22887,-32768
328,-24523,-32768
329,-16995,-32768
330,-24138,-32768
331,-32768,-32768
332,-22843,-32768
333,-9806,-32768
334,-21819,-32768
335,-26034,-32768
336,-15872,-32768
337,-14662,-32768
338,-10138,-32768
339,-536,-32768
340,-9186,-32768
341,-14164,-32768
342,6127,-32768
343,14780,-32768
344,2403,-32768
345,4381,-32768
346,14215,-32768
347,14090,-10480
348,21111,30053
349,26800,32767
350,13808,32767
351,13455,32767
352,32767,32767
353,32183,32767
354,17595,32767
355,20888,32767
356,25041,32767
357,21284,32767
358,26866,32767
359,24299,32767
360,6752,32767
361,9665,32767
362,24283,32767
363,13561,32767
364,-1230,32767
365,2317,32767
366,1088,32767
367,-3398,32767
368,1453,32767
369,-7491,32767
370,-24026,16823
371,-15037,2182
372,-4328,-850
373,-19225,-10293
374,-28371,-32768
375,-21939,-32768
376,-23814,-32768
377,-23415,-32768
378,-16585,-32768
379,-27231,-32768
380,-32768,-32768
381,-18949,-32768
382,-10589,-32768
383,-24224,-32768
384,-24460,-32768
385,-14813,-32768
386,-14787,-32768
387,-8015,-32768
388,-570,-32768
389,-11688,-32768
390,-11878,-32768
391,9828,-32768
392,13141,-32768
393,1046,-32768
394,6534,-32768
395,14699,-32768
396,14375,-2647
397,23186,32767
398,25501,32767
399,11629,32767
400,16544,32767
401,32767,32767
402,29301,32767
403,16722,32767
404,22475,32767
405,24386,32767
406,21518,32767
407,27935,32767
408,21419,32767
409,4965,32767
410,12821,32767
411,24497,32767
412,9869,32767
413,-1595,32767
414,3101,32767
415,-221,32767
416,-2881,32767
417,1556,32767
418,-11094,32767
419,-24548,12660
420,-11733,1284
421,-5454,-1547
422,-22443,-13965
423,-27626,-32768
424,-21386,-32768
425,-24638,-32768
426,-21962,-32768
427,-16923,-32768
428,-30303,-32768
429,-32768,-32768
430,-15435,-32768
431,-12282,-32768
432,-26021,-32768
433,-22507,-32768
434,-14234,-32768
435,-14588,-32768
436,-5799,-32768
437,-1416,-32768
438,-13769,-32768
439,-8668,-32768
440,12751,-32768
441,10886,-32768
442,468,-32768
443,8744,-32768
444,14773,-32768
445,15112,5283
446,25038,32767
447,23480,32767
448,10218,32767
449,20222,32767
450,32767,32767
451,26187,32767
452,16644,32767
453,23830,32767
454,23507,32767
455,22224,32767
456,28485,32767
457,18073,32767
458,4189,32767
459,16141,32767
460,23611,32767
461,6360,32767
462,-1283,32767
463,3468,32767
464,-1499,32767
465,-1986,32767
466,936,32767
467,-14780,32767
468,-23971,9231
469,-8708,669
470,-7546,-2566
471,-25118,-18379
472,-26432,-32768
473,-21312,-32768
474,-25182,-32768
475,-20342,-32768
476,-18064,-32768
477,-32768,-32768
478,-32136,-32768
479,-12603,-32768
480,-14660,-32768
481,-27053,-32768
482,-20411,-32768
483,-14079,-32768
484,-13948,-32768
485,-3716,-32768
486,-3009,-32768
487,-15145,-32768
488,-4769,-32768
489,14694,-32768
490,8312,-32768
491,703,-32768
492,10789,-32768
493,14577,-28143
494,16330,13017
495,26438,32767
496,20921,32767
497,9774,32767
498,24166,32767
499,32767,32767
500,23155,32767
